0,0.6255,0.5775, 0.615
2,0.7605,0.7425, 0.75
4,0.7955,0.765, 0.765
6,0.808,0.785, 0.745
8,0.772,0.76, 0.745
10,0.841,0.81, 0.81
12,0.8525,0.83, 0.835
14,0.856,0.8525, 0.865
16,0.8595,0.855, 0.88
18,0.8695,0.835, 0.86
20,0.8995,0.8775, 0.895
22,0.916,0.88, 0.905
24,0.877,0.83, 0.82
26,0.855,0.8275, 0.825
28,0.93,0.8725, 0.89
30,0.9125,0.8625, 0.845
32,0.9285,0.9025, 0.88
34,0.929,0.9025, 0.905
36,0.8635,0.85, 0.84
38,0.9305,0.89, 0.9
40,0.9335,0.895, 0.88
42,0.934,0.8925, 0.93
44,0.912,0.885, 0.885
46,0.9345,0.8975, 0.92
48,0.9235,0.885, 0.875
50,0.9165,0.88, 0.865
52,0.9055,0.8675, 0.855
54,0.916,0.885, 0.85
56,0.933,0.9, 0.88
58,0.928,0.87, 0.88
60,0.951,0.905, 0.905
62,0.9555,0.91, 0.925
64,0.9535,0.9075, 0.95
66,0.9375,0.9, 0.905
68,0.9575,0.9125, 0.91
70,0.959,0.9125, 0.925
0,0.52215,0.5254, 0.52624
1,0.51735,0.5182, 0.52256
2,0.5083,0.5102, 0.50808
3,0.5,0.5, 0.5
4,0.6101,0.5982, 0.59868
5,0.61925,0.6122, 0.60788
6,0.596,0.5934, 0.59024
7,0.65205,0.6508, 0.64484
8,0.6224,0.6294, 0.62988
9,0.55985,0.5612, 0.56432
10,0.62485,0.6226, 0.62872
11,0.6465,0.644, 0.64588
12,0.66655,0.6626, 0.65728
13,0.64145,0.6308, 0.62616
14,0.6009,0.5954, 0.58672
15,0.5991,0.5972, 0.6002
16,0.7024,0.7008, 0.69732
17,0.694,0.6992, 0.70024
18,0.70075,0.7076, 0.70176
19,0.6023,0.5984, 0.58708
20,0.7066,0.716, 0.70724
21,0.70525,0.7166, 0.70908
22,0.63785,0.6258, 0.61872
0,0.50105,0.5002, 0.50056
1,0.54665,0.5506, 0.54592
2,0.5594,0.5558, 0.54656
3,0.59725,0.6076, 0.59948
4,0.5965,0.587, 0.57964
5,0.6324,0.637, 0.62084
6,0.63895,0.6452, 0.6394
7,0.4999,0.5006, 0.50028
8,0.69745,0.7014, 0.6904
9,0.6899,0.6982, 0.68568
10,0.6608,0.6618, 0.64712
11,0.546,0.5514, 0.55128
12,0.528,0.52, 0.52112
0,0.50235,0.5006, 0.50256
1,0.50215,0.5016, 0.50156
2,0.5715,0.5762, 0.56332
3,0.56335,0.566, 0.5636
4,0.60155,0.6032, 0.5888
5,0.6437,0.655, 0.64664
6,0.5134,0.5098, 0.50912
7,0.6206,0.6096, 0.60448
8,0.6633,0.6668, 0.64588
9,0.5036,0.5012, 0.50208
10,0.66435,0.6608, 0.64744
11,0.6929,0.6964, 0.68132
12,0.66295,0.6568, 0.64296
13,0.6568,0.6532, 0.63816
14,0.69735,0.7026, 0.69484
15,0.53095,0.5338, 0.53508
16,0.72335,0.7286, 0.7172
17,0.70335,0.7108, 0.70368
18,0.73555,0.7408, 0.7316
19,0.73905,0.7498, 0.73268
20,0.67745,0.6672, 0.65616
21,0.6581,0.6526, 0.63756
22,0.7279,0.738, 0.73288
23,0.64465,0.629, 0.62748
24,0.54705,0.5474, 0.54936
25,0.75155,0.7584, 0.74032
26,0.7334,0.7384, 0.7198
27,0.59355,0.6004, 0.5962
28,0.70955,0.7164, 0.713
29,0.6707,0.6834, 0.67708
30,0.64055,0.6282, 0.62652
31,0.72965,0.7406, 0.73072
32,0.70755,0.6938, 0.68336
33,0.6174,0.6084, 0.60076
34,0.70955,0.7154, 0.71772
35,0.7384,0.7352, 0.72252
36,0.70685,0.7098, 0.71152
37,0.7554,0.7558, 0.75204
38,0.75015,0.7548, 0.74192
39,0.65255,0.6518, 0.6528
40,0.6895,0.6974, 0.69096
41,0.74855,0.7392, 0.73632
42,0.58505,0.5848, 0.58776
0,0.507,0.5038, 0.50464
1,0.5468,0.5534, 0.54972
2,0.50095,0.5, 0.50032
3,0.5138,0.512, 0.51452
4,0.58195,0.5848, 0.5878
5,0.62795,0.6284, 0.60948
6,0.6463,0.649, 0.63708
7,0.507,0.5054, 0.5044
8,0.58695,0.5834, 0.57224
9,0.61905,0.623, 0.62324
10,0.53235,0.5306, 0.5268
11,0.67055,0.6806, 0.67972
12,0.508,0.5058, 0.50652
13,0.65145,0.6612, 0.65532
14,0.5617,0.5536, 0.54988
15,0.6367,0.6452, 0.64536
16,0.69365,0.6964, 0.69228
17,0.6647,0.673, 0.66796
18,0.51095,0.5118, 0.51036
19,0.5409,0.5446, 0.54312
20,0.6627,0.6646, 0.66572
21,0.63125,0.6236, 0.61436
22,0.62805,0.6212, 0.61488
23,0.7523,0.7586, 0.7184
